File extension,Name
.py, pie
.talon, talon
.md, mark down
.sh, shell
.vim, vim
.c, see
.cs, see sharp
.com, com
.net, net
.org, org
.us, us
.us, U S
.co.uk, co UK
.exe, exe
.bin, bin
.bin, bend
.json, jason
.json, jay son
.js, J S
.js, java script
.ts, TS
.ts, type script
.csv, csv
.csv,totssv
.csv,tot csv
.csv, cassie
.txt, text
.jl, julia
.jl, J L
.html, html
.css, css
.sass, sass
.svg, svg
.png, png
.wav, wave
.flac, flack
.doc, doc
.docx, doc x
.pdf, pdf
.tar, tar
.gz, g z
.gzip, g zip
.zip, zip
.toml, toml
