command,spoken
apt,apt
awk,ark
base64 -d,base sixty four decode
base64,base sixty four
cat
chmod -R,change mode recurse
chmod,change mode
chown -R,change owner recurse
chown,change owner
code
cp,copy
curl
cut,cutter
df -h,disk free human
df,disk free
dig
du -h,disk usage human
du,disk usage
echo
exit
false
find
grep -Hirn,grab here
grep,grab
head
htop,harp top
id -u,I D user
id,I D
journalctl,journal control
journalctl --user ,journal user
less
ln -s,link soft
ln,link
md5sum,M D five sum
mkdir,make dear
mv,move
paste
printf,print format
python3,python three
pwd,work dear
rev,reverse
rm,remove
rm -r,remove recur
rsync,are sync
sed,said
seq,sequence
sha256sum,shah two fifty six sum
sleep
sort -h,sort human
sort -n,sort numeric
sort -r,sort reverse
sort -u,sort unique
sort
ssh,S S H
stat
sudo,super
systemctl,system control
systemctl --user,system user
tail -f,tail follow
tail
tee -a,tea append
tee,tea
tmux,multiplexer
touch
tr -d,translate delete
tr,translate
true
uniq -c,unique count
uniq,unique
vi,vee
vim
wc -c,word count characters
wc -l,word count lines
wc,word count
who
whoami,who am I
xargs,ex args
